484875268219201,Sat,2012-11-17,"Button Factory"," Hidden Agenda",219,"Jimmy Edgar Live",10,n/a,n/a,n/a
818296301542579,Sat,2014-12-27,"Opium Rooms"," Hidden Agenda",223,"Hidden Agenda: Danny Krivit & House of Disco",15,12,10,n/a
769742093057112,Sat,2014-06-28,"Button Factory"," Hidden Agenda",225,"Hidden Agenda & Lunar Disko present Objekt",8,5,n/a,n/a
845622015505548,Sat,2015-07-11,"Opium Rooms"," Abstract",226,Hunter/Game,10,n/a,n/a,n/a
687793714642280,Fri,2014-09-26,Sin," StrictlyDeep",226,"Strictly Deep presents Cristoph",15,12,n/a,n/a
461091944047595,Sat,2015-04-04,Hangar," BuildingSociety",232,"The Building Society presents DJ T",15,12,n/a,n/a
742237482490612,Fri,2014-08-29,"Opium Rooms"," Abstract",233,"Abstract presents Recondite (Live)",12,10,8,n/a
139390239540487,Sat,2012-10-13,"Button Factory"," Hidden Agenda",239,"Hidden Agenda & u:Mack presents Kwes & Lemonada",n/a,n/a,n/a,n/a
364070950450077,Sat,2015-08-15,"Button Factory"," Sense",248,"Sense with Eli & Fur",10,n/a,n/a,n/a
797254746994419,Thu,2015-03-26,"Twisted Pepper"," StrictlyDeep",249,"Strictly Deep & Room 19 presents Cera Alba",12,10,n/a,n/a
1433892633600174,Fri,2015-07-10,Pacinos," Subject",249,"Subject - DJ QU",12,10,n/a,n/a
1024804907539612,Fri,2015-12-04,"Opium Rooms"," Abstract",250,"Abstract & Strictly Deep present Doorly",15,12,10,n/a
1455119238054977,Fri,2014-04-04,Sin," StrictlyDeep",250,"Strictly Deep presents Yousef",15,13,n/a,n/a
392778644250159,Sat,2015-07-25,"Opium Rooms"," Abstract",251,"Discotech: Tiago Black",10,8,n/a,n/a
1608592702714657,Sat,2015-06-13,"Button Factory"," Sense",252,"Sense - ",10,n/a,n/a,n/a
898259630263843,Sat,2015-09-12,"Opium Rooms"," Abstract",253,"Abstract presents Adam Freeland",15,12,10,n/a
305482749575522,Sat,2015-09-19,"Opium Rooms"," Abstract",259,"Job Jobse & Cinnaman B2B",15,12,10,n/a
1010530988980571,Fri,2015-07-17,"Opium Rooms"," Abstract",260,"Mind Against & Lauren Lane at Opium Rooms 1st Birthday Weekender",15,12,n/a,n/a
342898732471785,Sat,2012-10-06,"Button Factory"," Hidden Agenda",266,"Bondax + Ifan Dafydd + CLU",10,8,n/a,n/a
628104683905553,Fri,2014-01-31,"Button Factory"," Jack",268,"Nic Fanciulli & Alex Tepper at Jack",10,n/a,n/a,n/a
181237315400220,Fri,2013-11-29,"Button Factory"," Jack",276,"Jack & Abstract present: Laura Jones",10,n/a,n/a,n/a
193652150804971,Sat,2014-12-20,Hangar," BuildingSociety",293,"Special Request - The Building Society",15,10,5,n/a
1385024965046925,Sun,2013-08-04,"Twisted Pepper"," Subject",295,"Subject - Derrick May",16,14,n/a,n/a
712267438883107,Fri,2015-06-12,Pacinos," Connection",298,"Mike Huckaby - Late Night Street Party",15,12,n/a,n/a
712267438883107,Fri,2015-06-12,Pacinos," Connection",298,"Connection & Culture Shock Pres Mike Huckaby",15,12,n/a,n/a
